公司代码,公司简称,公司全称,英文名称,注册地址,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,B股代码,B股 简 称,B股上市日期,B股总股本,B股流通股本,地      区,省    份,城     市,所属行业,公司网址
000001,平安银行,平安银行股份有限公司,"Ping An Bank Co., Ltd.",广东省深圳市罗湖区深南东路5047号,000001,平安银行,1991-04-03,"17,170,411,366","14,623,200,091",,,,0,0,华南,广东,深圳市,J 金融业,www.bank.pingan.com
000002,万  科Ａ,万科企业股份有限公司,"CHINA VANKE CO., LTD.",广东省深圳市盐田区大梅沙环梅路33号万科中心,000002,万  科Ａ,1991-01-29,"9,724,196,533","9,705,462,185",,,,0,0,华南,广东,深圳市,K 房地产,www.vanke.com
000004,国农科技,深圳中国农大科技股份有限公司,"SHENZHEN CAU TECHNOLOGY CO., LTD",广东省深圳市南山区中心路（深圳湾段）3333号中铁南方总部大厦503室,000004,国农科技,1990-12-01,"83,976,684","82,905,273",,,,0,0,华南,广东,深圳市,C 制造业,www.sz000004.cn
000005,世纪星源,深圳世纪星源股份有限公司,SHENZHEN FOUNTAIN CORPORATION,广东省深圳市人民南路发展中心大厦13层,000005,世纪星源,1990-12-10,"1,058,536,842","912,332,164",,,,0,0,华南,广东,深圳市,N 公共环保,www.fountain.com.cn
000006,深振业Ａ,深圳市振业(集团)股份有限公司,"SHENZHEN ZHENYE(GROUP) CO.,LTD.",广东省深圳市罗湖区宝安南路2014号振业大厦B座11-17层,000006,深振业Ａ,1992-04-27,"1,349,995,046","1,343,618,405",,,,0,0,华南,广东,深圳市,K 房地产,www.zhenye.com
000007,全新好,深圳市全新好股份有限公司,"SHENZHEN Quanxinhao CO., LTD.",广东省深圳市华强北路1058号现代之窗大厦A座25层,000007,全新好,1992-04-13,"230,965,363","205,776,701",,,,0,0,华南,广东,深圳市,H 住宿餐饮,
000008,神州高铁,神州高铁技术股份有限公司,"China High-Speed Railway Technology Co., Ltd.",北京市海淀区高梁桥斜街59号院1号楼16层1606,000008,神州高铁,1992-05-07,"2,757,709,279","1,494,764,599",,,,0,0,华北,北京,北京市,C 制造业,www.shenzhou-gaotie.com
000009,中国宝安,中国宝安集团股份有限公司,"CHINA BAOAN GROUP CO., LTD.",广东省深圳市笋岗东路1002号宝安广场A座28-29层,000009,中国宝安,1991-06-25,"2,149,344,971","2,118,885,157",,,,0,0,华南,广东,深圳市,S 综合,www.chinabaoan.com
000010,美丽生态,深圳美丽生态股份有限公司,"SHENZHEN ECOBEAUTY CO., LTD.",广东省深圳市宝安区西乡街道宝安桃花源科技创新园主园A栋孵化大楼321-322室,000010,美丽生态,1995-10-27,"819,854,713","407,154,317",,,,0,0,华南,广东,深圳市,E 建筑业,
000011,深物业A,深圳市物业发展(集团)股份有限公司,ShenZhen Properties & Resources Development (Group) Ltd.,广东省深圳市人民南路国贸大厦39、42层,000011,深物业A,1992-03-30,"528,373,849","175,831,365",200011,深物业B,1992-03-30,"67,605,243","67,605,243",华南,广东,深圳市,K 房地产,www.szwuye.com.cn
000012,南  玻Ａ,中国南玻集团股份有限公司,"CSG HOLDING CO.,LTD.",广东省深圳市蛇口工业六路一号南玻大厦,000012,南  玻Ａ,1992-02-28,"1,312,751,568","1,300,118,494",200012,南  玻Ｂ,1992-02-28,"762,583,992","762,469,992",华南,广东,深圳市,C 制造业,www.csgholding.com
000014,沙河股份,沙河实业股份有限公司,"SHAHE INDUSTRIAL CO.,LTD.",广东省深圳市南山区白石路2222号沙河世纪楼,000014,沙河股份,1992-06-02,"201,705,187","201,700,249",,,,0,0,华南,广东,深圳市,K 房地产,www.shahe.cn
